algorithm,split,class_label,branch_index,kind,confuser_class,node_idx
src_v9,0,0,0,root,-1,8
src_v9,0,0,0,root,-1,21
src_v9,0,0,0,root,-1,31
src_v9,0,0,0,root,-1,37
src_v9,0,0,0,root,-1,61
src_v9,0,0,0,root,-1,70
src_v9,0,0,0,root,-1,79
src_v9,0,0,0,root,-1,86
src_v9,0,0,0,root,-1,101
src_v9,0,0,0,root,-1,113
src_v9,0,0,0,root,-1,122
src_v9,0,0,0,root,-1,128
src_v9,0,0,0,root,-1,129
src_v9,0,0,0,root,-1,134
src_v9,0,0,0,root,-1,184
src_v9,0,0,0,root,-1,194
src_v9,0,0,0,root,-1,195
src_v9,0,0,0,root,-1,198
src_v9,0,0,0,root,-1,207
src_v9,0,0,0,root,-1,226
src_v9,0,0,0,root,-1,246
src_v9,0,0,0,root,-1,256
src_v9,0,0,0,root,-1,273
src_v9,0,0,0,root,-1,275
src_v9,0,0,0,root,-1,276
src_v9,0,0,0,root,-1,285
src_v9,0,0,0,root,-1,287
src_v9,0,0,0,root,-1,289
src_v9,0,0,0,root,-1,318
src_v9,0,0,0,root,-1,325
src_v9,0,0,0,root,-1,327
src_v9,0,0,0,root,-1,363
src_v9,0,0,0,root,-1,364
src_v9,0,0,0,root,-1,370
src_v9,0,0,0,root,-1,378
src_v9,0,0,0,root,-1,407
src_v9,0,0,0,root,-1,428
src_v9,0,0,0,root,-1,443
src_v9,0,0,0,root,-1,445
src_v9,0,0,0,root,-1,455
src_v9,0,0,0,root,-1,456
src_v9,0,0,0,root,-1,459
src_v9,0,0,0,root,-1,474
src_v9,0,0,0,root,-1,482
src_v9,0,0,0,root,-1,483
src_v9,0,0,0,root,-1,485
src_v9,0,0,0,root,-1,486
src_v9,0,0,0,root,-1,490
src_v9,0,0,0,root,-1,501
src_v9,0,0,0,root,-1,519
src_v9,0,0,0,root,-1,525
src_v9,0,0,0,root,-1,535
src_v9,0,0,0,root,-1,537
src_v9,0,0,0,root,-1,542
src_v9,0,0,0,root,-1,559
src_v9,0,0,0,root,-1,570
src_v9,0,0,0,root,-1,580
src_v9,0,0,0,root,-1,591
src_v9,0,0,0,root,-1,599
src_v9,0,0,0,root,-1,613
src_v9,0,0,0,root,-1,614
src_v9,0,0,0,root,-1,627
src_v9,0,0,0,root,-1,628
src_v9,0,0,0,root,-1,633
src_v9,0,0,0,root,-1,649
src_v9,0,0,0,root,-1,653
src_v9,0,0,0,root,-1,684
src_v9,0,0,0,root,-1,687
src_v9,0,0,0,root,-1,688
src_v9,0,0,0,root,-1,689
src_v9,0,0,0,root,-1,699
src_v9,0,0,0,root,-1,700
src_v9,0,0,0,root,-1,717
src_v9,0,0,0,root,-1,719
src_v9,0,0,0,root,-1,732
src_v9,0,0,0,root,-1,744
src_v9,0,0,0,root,-1,768
src_v9,0,0,0,root,-1,793
src_v9,0,0,0,root,-1,809
src_v9,0,0,0,root,-1,816
src_v9,0,0,0,root,-1,823
src_v9,0,0,0,root,-1,826
src_v9,0,0,0,root,-1,848
src_v9,0,0,0,root,-1,850
src_v9,0,0,0,root,-1,864
src_v9,0,0,0,root,-1,874
src_v9,0,0,0,root,-1,876
src_v9,0,0,0,root,-1,897
src_v9,0,0,0,root,-1,901
src_v9,0,0,0,root,-1,908
src_v9,0,0,0,root,-1,910
src_v9,0,0,0,root,-1,913
src_v9,0,0,0,root,-1,917
src_v9,0,0,0,root,-1,921
src_v9,0,0,0,root,-1,923
src_v9,0,0,0,root,-1,947
src_v9,0,0,0,root,-1,954
src_v9,0,0,0,root,-1,965
src_v9,0,0,0,root,-1,999
src_v9,0,0,0,root,-1,1008
src_v9,0,0,0,root,-1,1012
src_v9,0,0,0,root,-1,1015
src_v9,0,0,0,root,-1,1021
src_v9,0,0,0,root,-1,1026
src_v9,0,0,0,root,-1,1032
src_v9,0,0,0,root,-1,1036
src_v9,0,0,0,root,-1,1044
src_v9,0,0,0,root,-1,1059
src_v9,0,0,0,root,-1,1081
src_v9,0,0,0,root,-1,1088
src_v9,0,0,0,root,-1,1096
src_v9,0,0,0,root,-1,1115
src_v9,0,0,0,root,-1,1121
src_v9,0,0,0,root,-1,1123
src_v9,0,0,0,root,-1,1130
src_v9,0,0,0,root,-1,1132
src_v9,0,0,0,root,-1,1135
src_v9,0,0,0,root,-1,1137
src_v9,0,0,0,root,-1,1154
src_v9,0,0,0,root,-1,1215
src_v9,0,0,0,root,-1,1218
src_v9,0,0,0,root,-1,1226
src_v9,0,0,0,root,-1,1234
src_v9,0,0,0,root,-1,1252
src_v9,0,0,0,root,-1,1255
src_v9,0,0,0,root,-1,1266
src_v9,0,0,0,root,-1,1270
src_v9,0,0,0,root,-1,1286
src_v9,0,0,0,root,-1,1302
src_v9,0,0,0,root,-1,1309
src_v9,0,0,0,root,-1,1310
src_v9,0,0,0,root,-1,1315
src_v9,0,0,0,root,-1,1320
src_v9,0,0,0,root,-1,1321
